,Hub,Needed (N),Remaining (R = N-T-D),% Completed,Country,Semaphore,Needed,In transit (T),Delivered (D),Remaining (R = N-T-D).1,Longitude,Latitude
563,Spain | Llançà | Labdoo School Hub Llançà - Institut de Llançà,8,0,100,Spain,open,4,0,11,0,3.1511804,42.3617316
564,Switzerland | Au | Annahmestelle 8804 Au (ZH),0,0,0,Switzerland,open,0,0,0,0,134.755,-24.7761086
565,Spain | Vilanova i la Geltrú | Labdoo School Hub Vilanova i la Geltrú - PFI Institut Joaquim Mir,0,0,0,Spain,open,0,0,0,0,1.7256327,41.2241992
566,Germany | Bad Nauheim | Labdoo Annahmestelle 61231 Bad Nauheim: Secondhand-Kaufhaus,0,0,0,Germany,open,0,0,0,0,8.7461314,50.40015
567,United States | Baldwin Park | Care Mission USA,50,37,26,United States,inactive,25,0,13,12,-117.9611761,34.0854739
568,Spain | Tineo | Labdoo School Hub Tineo (Asturias) - IES Concejo de Tineo,0,0,0,Spain,open,0,0,3,0,-6.4165462,43.333974
569,Venezuela | Guanare | ALAS DE PAZ,8,8,0,Venezuela,open,8,0,0,8,-69.7412593,9.0407855
570,Germany | Heidelberg | Labdoo Annahmestelle 69123 Heidelberg: Nils Babion,0,0,0,Germany,open,0,0,17,0,8.694724,49.4093582
571,Spain | Ávila | IES Alonso Madrigal,8,5,37,Spain,open,8,0,3,5,-4.7002172,40.656478
572,Venezuela | Valencia | HUB SAN DIEGO,0,0,0,Venezuela,open,0,0,0,0,-0.3763353,39.4697065
573,Germany | Duisburg | Labdoo Annahmestelle 47119 Duisburg Ruhrort: Umweltlokal Ruhrort,0,0,0,Germany,open,0,1,2,0,6.759562,51.434999
574,Spain | Oviedo | Villafria,0,0,0,Spain,open,0,0,0,0,-5.8795096,43.3533452
575,Germany | Flensburg | Labdoo Annahmestelle 24941 Flensburg: Flensburger Bildungsverein / Tamer Coskun,0,0,0,Germany,open,0,0,0,0,9.4333264,54.7833021
576,Switzerland | Pratteln | Annahmestelle 4133 Pratteln (BL),0,0,0,Switzerland,open,0,0,0,0,7.6944741,47.5192013
577,Germany | Bayreuth | Labdoo Annahmestelle 95448 Bayreuth: [zur Zeit geschlossen],55,33,40,Germany,closed,55,0,22,33,11.5743543,49.9446345
578,Spain | Santa Margarida i els Monjos | Labdoo School Hub Santa Margarida i els Monjos - PFI Institut El Foix,0,0,0,Spain,open,0,0,0,0,1.6623519,41.3213389
579,Germany | Düsseldorf | Labdoo Annahmestelle 40225 Düsseldorf: Bürgerhaus Salzmannbau,0,0,0,Germany,open,0,0,0,0,6.7763137,51.2254018
580,Germany | Fischingen | Labdoo Annahmestelle 79592 Fischingen: Landhotel Tanne,0,0,0,Germany,open,0,0,0,0,7.5999972,47.650005
581,Spain | Igualada | Fundació UEA,0,0,0,Spain,open,0,7,0,0,1.617346,41.5790182
582,Germany | München | Labdoo Annahmestelle 81377 München: Hadern,18,0,100,Germany,open,18,13,45,0,11.5753822,48.1371079
583,Spain | Vilassar de Mar | Labdoo Hub Vilassar de Mar,218,119,45,Spain,open,207,29,70,108,2.3913883,41.5064041
584,Germany | Dummerstorf | Labdoo Annahmestelle 18196 Dummerstorf: Repair Café Dummerstorf,7,0,100,Germany,open,3,8,24,0,12.2281926,54.0131361
585,United States | Cerritos | Labdoo Hub Cerritos,10,8,20,United States,inactive,10,2,0,8,-118.0539323,33.8644291
586,Spain | Sant Joan Vilatorrada | HUB Sant Joan,0,0,0,Spain,open,0,0,0,0,1.8028799,41.742277
587,Switzerland | Gais | Annahmestelle 9056 Gais (AR),0,0,0,Switzerland,open,0,0,0,0,11.9474837,46.8331565
588,Sierra Leone | Makeni | 10 Billion Strong Sierra Leone Hub,0,0,0,Sierra Leone,closed,0,0,0,0,-12.0441862,8.8881938
589,Spain | Vilassar de Mar | Labdoo City Hub Vilassar de Mar - Biblioteca Ernest Lluch i Martin,0,0,0,Spain,open,0,0,2,0,2.3913883,41.5064041
590,Switzerland | Airolo | Annahmestelle 6780 Airolo (TI),0,0,0,Switzerland,open,0,0,0,0,8.6086045,46.5290309
591,Chile | Santiago de Chile | Hub empresa en Chile ,0,0,0,Chile,open,0,3,0,0,-70.6510671,-33.4376995
592,Spain | Vilafant | Labdoo School Hub Vilafant - Institut de Vilafant,0,0,0,Spain,open,0,0,0,0,2.9418008,42.2515266
593,Germany | München | Labdoo Annahmestelle 80939 München: Freimann,10,0,100,Germany,open,5,0,10,0,11.5753822,48.1371079
594,Mexico | Merida  | Universidad Autonoma de Yucatan,0,0,0,Mexico,open,0,0,0,0,-6.3443977,38.9174665
595,Spain | Granollers | CanJoanCoworking,0,0,0,Spain,open,0,0,1,0,2.2876008,41.6079555
596,Mexico | Jalisco | Labdoo HUB Guadalajara | La Minerva ,0,0,0,Mexico,open,0,0,0,0,-103.6666671,20.3333331
597,Germany | Namborn  | Labdoo Annahmestelle 66640 Namborn: Computer Service Czehak,0,0,0,Germany,open,0,0,0,0,7.1403438,49.5216883
598,Germany | Duisburg | Labdoo Annahmestelle 47053 Duisburg 47259: Recyclinghof Süd Wirtschaftsbetriebe Duisburg,0,0,0,Germany,open,0,0,0,0,6.759562,51.434999
599,Germany | Geeste | Labdoo Annahmestelle 49744 Geeste (Emsland): Michael Rieken,0,0,0,Germany,open,0,0,2,0,7.268098,52.6009773
600,Germany | Bad Laasphe | Labdoo Annahmestelle 57334 Bad Laasphe: F. Grebe,0,0,0,Germany,open,0,0,0,0,8.4123648,50.9271541
601,Germany | Hannover | Labdoo Annahmestelle 30449 Hannover: Erik Uden,0,0,0,Germany,open,0,0,0,0,9.7385532,52.3744779
602,Spain | Sant Martí Sarroca | Labdoo School Hub - Institut de l'Alt Foix,0,0,0,Spain,open,0,0,0,0,1.6108158,41.3854214
603,Germany | Berlin | Labdoo Annahmestelle 12489 Berlin: Dezhi Jacky Fu,0,0,0,Germany,open,0,1,3,0,13.3951309,52.5173885
604,Germany | Böblingen | Labdoo Annahmestelle 71034 Böblingen: HP Deutschland GmbH,0,0,0,Germany,open,0,5,11,0,9.0113444,48.684969
605,Germany | Eschborn | Labdoo Annahmestelle 65760 Eschborn: HP Deutschland GmbH,0,0,0,Germany,open,0,0,3,0,8.5607767,50.1504737
606,Spain | Ripoll | Labdoo City Hub Ripoll - Biblioteca Lambert Mata,0,0,0,Spain,open,0,0,0,0,2.1932496,42.1982391
607,Germany | Mainz | Labdoo Annahmestelle 55131 Mainz: Filip Bugajski,0,0,0,Germany,open,0,0,0,0,8.2736253,49.9995205
608,Germany | Hude | Labdoo Annahmestelle 27798 Hude: Repair Café Hude,0,0,0,Germany,open,0,4,4,0,9.2148137,54.3880564
609,Germany | Waghäusel-Wiesental | Labdoo Annahmestelle 68753 Waghäusel-Wiesental: AfB gGmbH Shop Waghäusel-Wiesental,0,0,0,Germany,open,0,0,0,0,8.5224505,49.2246438
610,Spain | Reus | Hub Reus,0,0,0,Spain,open,0,0,0,0,1.1076133,41.1555564
611,Germany | Beilngries | Labdoo Annahmestelle 92339 Beilngries: Reparatur Initiative Beilngries,20,13,35,Germany,open,20,4,3,13,11.473829,49.0351602
612,Spain | Manresa | Manresa - Esparraguera,0,0,0,Spain,open,0,0,0,0,1.8286765,41.7288939
613,Spain | Manresa | Manresa - Esparraguera,0,0,0,Spain,open,0,0,0,0,1.8286765,41.7288939
614,Germany | Hennef | Labdoo Annahmestelle 53773 Hennef: Furbyte,0,0,0,Germany,open,0,0,0,0,7.2847945,50.7754417
615,Spain | Calafell | Biblioteca pública Casa Nova de Segur de Calafell,0,0,0,Spain,open,0,0,0,0,1.5687244,41.2009871
616,Spain | Madrid | Red de Bibliotecas Públicas Madrid,0,0,0,Spain,open,0,0,0,0,-3.703507,40.416782
617,Spain | Madrid | Biblioteca Pública Luis Rosales,0,0,0,Spain,open,0,7,0,0,-3.703507,40.416782
618,Spain | Madrid | Biblioteca Pública Elena Fortún,0,0,0,Spain,open,0,0,0,0,-3.703507,40.416782
619,Spain | Cunit | Labdoo City Hub Cunit - Biblioteca Municipal Marta Mata,0,0,0,Spain,open,0,0,0,0,1.6344596,41.197596
620,Germany | Dülmen | Labdoo Annahmestelle 48249 Dülmen: Mierisch EDV,0,0,0,Germany,open,0,0,1,0,7.2791406,51.8283677
621,Germany | Krefeld | Labdoo Annahmestelle 47809 Krefeld: GSAK,0,0,0,Germany,open,0,1,1,0,6.5623343,51.3331205
622,Germany | Kaiserslautern | Labdoo Annahmestelle 67655 Kaiserslautern: 42Kaiserslautern gGmbH,0,0,0,Germany,open,0,0,0,0,7.7689951,49.4432174
623,Germany | Senden | Labdoo Annahmestelle 48308 Senden: Siegfried Kohlschein,0,0,0,Germany,open,0,1,0,0,10.0471189,48.3251884
624,Kenya | Kakuma | Labdoo Hub CASE/ Kakuma Refugee Camp/ Kenya,0,0,0,Kenya,open,0,0,0,0,10.1974008,10.6300096
625,United States |  Lake Elsinore | Nurturing Purpose Labdoo Hub,359,331,7,United States,open,179,28,0,151,-117.3272615,33.6680772
626,Germany | Stuttgart | Labdoo Annahmestelle 70186 Stuttgart: Anton Mech,25,22,12,Germany,open,25,3,0,22,9.1800132,48.7784485
627,"Germany | Heppenheim | Labdoo Annahmestelle 64646 Heppenheim: AWZ Heppenheim, Wertstoffhof des ZAKB ",0,0,0,Germany,open,0,0,0,0,8.66768,49.64999
628,Germany | Kamp-Linfort | Labdoo Annahmestelle 47475 Kamp-Lintfort: Abfall- und Energiezentrum (AEZ) Asdonkshof,0,0,0,Germany,open,0,3,2,0,0.0,0.0
629,Germany | Crailsheim | Labdoo Annahmestelle 74564 Crailsheim:  Alla Bakhmisova / Stärke der Einheit e.V.,15,0,100,Germany,open,15,0,15,0,10.0720195,49.1365626
630,"Germany | Mettmann | Labdoo Annahmestelle 40822 Mettmann: Kreis Mettmann, Abfallberatung",0,0,0,Germany,open,0,5,0,0,6.9777778,51.2527778
631,Germany | Velbert | Labdoo Annahmestelle 42549 Velbert: Julien Ettel,0,0,0,Germany,open,0,0,0,0,7.0439912,51.3406713
632,Spain | Madrid | Labdoo.org (Madrid),0,0,0,Spain,open,0,0,0,0,-3.703507,40.416782
633,United States | Irvine | Saddleback Church Hub - Irvine North Campus,0,0,0,United States,open,0,0,0,0,-117.825981,33.6856969
634,Spain | Arrefice | CIFP Zonzamas. Reutiliza y Conecta,0,0,0,Spain,open,0,0,0,0,-66.5617848,8.6783121
635,Switzerland | Le Mont-sur-Lausanne | Annahmestelle 1052 Le Mont-sur-Lausanne (VD),0,0,0,Switzerland,open,0,0,0,0,6.6354534,46.5530996
636,Germany | Langenzenn | Labdoo Annahmestelle 90579 Langenzenn: Euronics Jakob e.K.,0,0,0,Germany,open,0,0,0,0,10.7948937,49.4946086
